店舗ID,店舗名,メインジャンル,サブジャンル,キャッチコピー,概要,住所,緯度,経度,電話番号,公式ホームページ,画像1,画像2
55,スパイスカレーのお店 Cardamon,インド・カレー,カフェ・喫茶店,家で食べるスパイスカレーはじめました。,豊橋駅スターバックス前にあるcurry.coffee.sweetsのお店。定番のチキンカリーや病みつきになるポークカリー、看板カリーのエスニックキーマまでメニューのほとんどがテイクアウトが可能。保存可能な真空パックのルーのみも対応可能。お子様も召し上がっていただけるカレーも。,愛知県豊橋市駅前大通 1-59 坂田ビル1F,34.76277,137.384367,(0520)35-6155,https://life-designs.jp/webmagazine/cardamon/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/N68vzK.jpg,
56,カルビ一丁 豊橋店,焼肉・ステーキ,,焼肉店の本格肉弁当！牛カルビ！牛タン！うまい！！,カルビ一丁の厳選された牛カルビや牛タンをテイクアウトならではのお手頃価格でご用意しました。この機会に、とことん旨味にこだわった絶品弁当でスタミナをつけて心も体も元気になってください！,愛知県豊橋市藤沢町 117-1,34.74497,137.37099,(0520)37-5300,http://takeout.kora.co.jp/kalubi/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/x1AbNe.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/pLepwK.jpg
57,カルビ一丁 花田店,焼肉・ステーキ,,焼肉店の本格肉弁当！牛カルビ！牛タン！うまい！！,カルビ一丁の厳選された牛カルビや牛タンをテイクアウトならではのお手頃価格でご用意しました。この機会に、とことん旨味にこだわった絶品弁当でスタミナをつけて心も体も元気になってください！,愛知県豊橋市花田町字中ノ坪 23,34.768771,137.375838,(0520)31-8886,"
http://takeout.kora.co.jp/kalubi/",https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/MLphIh.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/5pLXoQ.jpg
58,カルビ一丁 平川店,焼肉・ステーキ,,焼肉店の本格肉弁当！牛カルビ！牛タン！うまい！！,カルビ一丁の厳選された牛カルビや牛タンをテイクアウトならではのお手頃価格でご用意しました。この機会に、とことん旨味にこだわった絶品弁当でスタミナをつけて心も体も元気になってください！,愛知県豊橋市平川町 26-1,34.762518,137.421896,(0520)66-3333,"
http://takeout.kora.co.jp/kalubi/",https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/B4zBDq.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/ONBMi2.jpg
59,韓丼 豊橋下地店,韓国,,大人気のカルビ丼やスン豆腐をご自宅で！,韓丼の味をご自宅でもお楽しみいただけます。スタミナ抜群、ボリューム満足、美味しくて安心！毎日手作りのこだわった韓丼自慢の味をお召し上がりください。,愛知県豊橋市大村町字高之城 1,34.793934,137.389359,(0520)26-7776,http://kandon.jp/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/ndrHoF.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/hdgsxk.png
60,本気炭火焼鶏 きざし,焼鳥・串焼き,,本格炭火やきとりをご自宅で♪,お昼は弁当、夜は弁当＆やきとり等をテイクアウト出来ます。ご来店してご注文いただいた後、そこから作るので出来たてを満喫！お時間に限りのある方は、ご来店前にお電話でのご注文も承っております。ご指定の受け取り時間に完成するよう、可能な限り対応致します。,愛知県豊橋市上伝馬町 26,34.768195,137.385581,(0520)26-8810,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/YRwbH1.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/viJT0J.jpg
61,喫茶 カチカチ山,カフェ・喫茶店,,テイクアウト始めました！コロナに負けずに頑張ろう！,丼、お弁当、お子さま向け軽食などがございます。メニューの詳細はインスタをご覧ください。事前の電話連絡有り無しどちらでも可能で当日もOKです。インスタ内の連絡でも受付けます。（デリバリーはございません）大変な時ですが皆さんで支え合いましょう！,愛知県豊橋市小松町 36-1,34.741524,137.389317,(0520)48-2082,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/S4jJxt.jpg,
62,焼肉 吉祥庵,焼肉・ステーキ,,当日の予約が可能です,自宅でも吉祥庵の焼肉が少しでも堪能できるようにテイクアウトはじめました。是非一度ご賞味ください。,愛知県豊橋市小松町 170-1,34.740046,137.392653,(0520)39-4477,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/AWNVif.jpg,
63,まちの洋食屋さんキッチンいまい,洋食,惣菜・オードブル・お弁当,毎日のお弁当やホームパーティーのオードブルに！,お弁当やオードブルのテイクアウト、デリバリー、出張シェフサービスと、お店でしか食べれない物を自宅で！ご予算、数量、時間、場所はご相談下さい。予めお電話でのお問合せをお願い致します。,愛知県豊橋市中岩田 2-9-3,34.753319,137.425231,(0520)74-3380,http://kitchen-imai.com/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/A0abL2.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/zbXylS.png
64,キッチンクボタ,イタリアン,,美味しいパスタをご自宅で！,ただ今テイクアウトは定価より15%OFFにて提供しております。（ナポリタン、お弁当を除きます）また、テイクアウトナポリタンは500円！（税別）イタリアンレストランのナポリタンをこの機会にどうぞ。（テイクアウト限定）,愛知県豊橋市菰口町 6-15-12 2F,34.772998,137.372188,(0520)32-7333,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/oNjz1J.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/i3R9RD.png
65,洋食厨房 キッチン Demi,洋食,,「お家で美味しいもの食べたーい」にお応えします！,当店がこだわるホッとするご馳走をオードブルやお弁当のスタイルで提供しています。詳しくはHP、フェイスブック、インスタ等で紹介しています。前日までにお電話下さい。,愛知県豊橋市飯村北 3-3-9,34.744989,137.424436,(0520)64-6008,http://www.kitchen-demi.com/sp/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/k1tVUz.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/ryHAix.jpg
66,スパイスカレーとガッツリ定食 キッチン山田農園,インド・カレー,惣菜・オードブル・お弁当,キッチン山田農園のメニューをおうちでどうぞ,スパイスカレーやガッツリ定食をおうちでも。朝5時からやってるよ。ゆっくり選んでお電話してね。価格は全て税込です。,愛知県豊橋市下五井町字捨田 32-1 豊橋魚市場前,34.789596,137.371067,090-3307-6099,https://yamadanouen.dosugoi.net/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/gvhx1v.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/plZsFw.png
67,せいろ蒸し 絹さや,和食,惣菜・オードブル・お弁当,品数豊富で色々楽しめる体に優しい絹さやの味をお家で,"せいろ蒸しのお店です。日頃リクエストがありながらもお断りしていたお弁当。今だからこそお作りします。絹さや弁当1,000円（税込）、茶碗蒸し250円（税込）などをご用意。お弁当と一緒にお買い上げの方は茶碗蒸しが200円に。（前々日までに要予約）",愛知県豊橋市岩崎町字長尾 56-1,34.748767,137.447031,(0520)62-9916,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/ijQQnz.jpg,
68,喜聞屋 讃岐骨付き鶏,居酒屋,焼鳥・串焼き,本場の味！香川県丸亀市発祥の骨付き鶏をご家庭で♪,テイクアウト商品は、前日20:00まで要予約となっております。店固定電話のみご予約受付いたします。,愛知県豊橋市平川町 7 岩瀬店舗2号,34.763626,137.423157,(0520)75-1369,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/XVGmqE.jpg,
